Artikelnummer;Name;Preis;Einheit;Verkaufsmenge;Artikelname;Artiketext;ArtikelnameEnglisch;ArtiketextEnglsich;Verkaufseinheit;;;;;
set 6 bar und Manometer 10 bar;;Solar-Modul-Anbaugruppe Wilo Yonos Para ST 25/7 RKC

Pumpengruppe UK-S mit Wandhalterung und
Ergänzungssatz "Solar" mit Sicherheits-
set 6 bar und Manometer 10 bar;Stk;;;;;
AG09;Systemtrenngruppe PWT 20 Platten mit Alpha 2L, 25-60;1331;Stk;1;komplett mit Energiesparpumpe, Anschlusskabel, zwei 3-Wege-Kugelhähne, 2 Kontaktthermometer, Kompakt;Systemtrenngruppe PWT 20 Platten mit Alpha 2L, 25-60
komplett mit Energiesparpumpe, Anschlusskabel, zwei 3-Wege-Kugelhähne, 2 Kontaktthermometer, Kompakt
komplett mit Umwälzpumpe Rotguss,
Anschlusskabel, zwei 4-Wege-Kugelhähne,
Kontaktthermometer,
Kompaktwärmetauscher, Sicherheitsgruppe,
Anschlussset für ein Ausdehnungsgefäß,
KFE-Hahn, Wandhalterung, EPP-Isolierung,
Anschlussverschruabungen
leistung 22 kW bei Primär 70°C/50°C,
Sekundär 35°C/40°C;komplett mit Energiesparpumpe, Anschlusskabel, zwei 3-Wege-Kugelhähne, 2 Kontaktthermometer, Kompakt;Systemtrenngruppe PWT 20 Platten mit Alpha 2L, 25-60
komplett mit Energiesparpumpe, Anschlusskabel, zwei 3-Wege-Kugelhähne, 2 Kontaktthermometer, Kompakt
komplett mit Umwälzpumpe Rotguss,
Anschlusskabel, zwei 4-Wege-Kugelhähne,
Kontaktthermometer,
Kompaktwärmetauscher, Sicherheitsgruppe,
Anschlussset für ein Ausdehnungsgefäß,
KFE-Hahn, Wandhalterung, EPP-Isolierung,
Anschlussverschruabungen
leistung 22 kW bei Primär 70°C/50°C,
Sekundär 35°C/40°C;Stk;;;;;
AG10;Verteilerbalken 5/4, 4 Heizkreise 02;477,6;Stk;1;mit Blockdämmunginkl. Verschraubungssatz 5/4;Verteilerbalken 5/4, 4 Heizkreise 02
mit Blockdämmunginkl. Verschraubungssatz 5/4;mit Blockdämmunginkl. Verschraubungssatz 5/4;Verteilerbalken 5/4, 4 Heizkreise 02
mit Blockdämmunginkl. Verschraubungssatz 5/4;Stk;;;;;
AG11;Harreither Heizungswart 1 bis 50 KW, ohne Weiche,;498;Stk;1;mit Magnetitabscheider;Harreither Heizungswart 1 bis 50 KW, ohne Weiche,
mit Magnetitabscheider;mit Magnetitabscheider;Harreither Heizungswart 1 bis 50 KW, ohne Weiche,
mit Magnetitabscheider;Stk;;;;;
AG12;Harreither Heizungswart 1 bis 50 KW, mit Weiche,;498;Stk;1;;Harreither Heizungswart 1 bis 50 KW, mit Weiche,
;;Harreither Heizungswart 1 bis 50 KW, mit Weiche,
;Stk;;;;;
AG13;Mischermotor 24V, Anst. 0-10V;522;Stk;1;;Mischermotor 24V, Anst. 0-10V
;;Mischermotor 24V, Anst. 0-10V
;Stk;;;;;
AG14;Festwertregler;503;Stk;1;mit 2m Kabel verdrahtet;Festwertregler
mit 2m Kabel verdrahtet;mit 2m Kabel verdrahtet;Festwertregler
mit 2m Kabel verdrahtet;Stk;;;;;
AG39;Konstantwertregelset 1;863;Stk;1;mit Grundfos-Pumpe UPS 25-60;Konstantwertregelset 1
mit Grundfos-Pumpe UPS 25-60;mit Grundfos-Pumpe UPS 25-60;Konstantwertregelset 1
mit Grundfos-Pumpe UPS 25-60;Stk;;;;;
AG40;Fußbodenheizungsmodul MK 1 ohne Pumpe;253,1;Stk;1;mit Blockdämmung und 3-Wege T-Mischer;Fußbodenheizungsmodul MK 1 ohne Pumpe
mit Blockdämmung und 3-Wege T-Mischer;mit Blockdämmung und 3-Wege T-Mischer;Fußbodenheizungsmodul MK 1 ohne Pumpe
mit Blockdämmung und 3-Wege T-Mischer;Stk;;;;;
AG41;Fußbodenheizungsmodul MK 1 mit Wilo Para 25/7-50/SC-12;505;Stk;1;;Fußbodenheizungsmodul MK 1 mit Wilo Para 25/7-50/SC-12
;;Fußbodenheizungsmodul MK 1 mit Wilo Para 25/7-50/SC-12
;Stk;;;;;
AG42;Fußbodenheizungsmodul MK 1 mit Wilo Stratos Pico 25/1-6;658;Stk;1;inkl. Winkelstecker;Fußbodenheizungsmodul MK 1 mit Wilo Stratos Pico 25/1-6
inkl. Winkelstecker;inkl. Winkelstecker;Fußbodenheizungsmodul MK 1 mit Wilo Stratos Pico 25/1-6
inkl. Winkelstecker;Stk;;;;;
AG43;Fußbodenheizungsmodul MK 1 mit Wilo Stratos Para 25/1-8;833;Stk;1;;Fußbodenheizungsmodul MK 1 mit Wilo Stratos Para 25/1-8
;;Fußbodenheizungsmodul MK 1 mit Wilo Stratos Para 25/1-8
;Stk;;;;;
AG45;Fußbodenheizungsmodul MK 5/4 ohne Pumpe;338,3;Stk;1;;Fußbodenheizungsmodul MK 5/4 ohne Pumpe
;;Fußbodenheizungsmodul MK 5/4 ohne Pumpe
;Stk;;;;;
AG46;Fußbodenheizungsmodul MK 5/4 mit Wilo Stratos Pico 30/1-6;810;Stk;1;inkl. Winkelstecker;Fußbodenheizungsmodul MK 5/4 mit Wilo Stratos Pico 30/1-6
inkl. Winkelstecker;inkl. Winkelstecker;Fußbodenheizungsmodul MK 5/4 mit Wilo Stratos Pico 30/1-6
inkl. Winkelstecker;Stk;;;;;
AG47;Fußbodenheizungsmodul MK 5/4 mit Stratos Para 30/1-8;920;Stk;1;;Fußbodenheizungsmodul MK 5/4 mit Stratos Para 30/1-8
;;Fußbodenheizungsmodul MK 5/4 mit Stratos Para 30/1-8
;Stk;;;;;
AG50;Boilerlademodul UK 1 ohne Pumpe;199,2;Stk;1;mit Blockdämmung, ungemischter Kreis;Boilerlademodul UK 1 ohne Pumpe
mit Blockdämmung, ungemischter Kreis;mit Blockdämmung, ungemischter Kreis;Boilerlademodul UK 1 ohne Pumpe
mit Blockdämmung, ungemischter Kreis;Stk;;;;;
AG51;Boilerlademodul UK 1 mit Wilo Yonos Para 25/7-50/SC-12;442,7;Stk;1;;Boilerlademodul UK 1 mit Wilo Yonos Para 25/7-50/SC-12
;;Boilerlademodul UK 1 mit Wilo Yonos Para 25/7-50/SC-12
;Stk;;;;;
AG52;Boilerlademodul UK 1 mit Wilo Stratos Pico 25/1-6;606;Stk;1;inkl. Winkelstecker;Boilerlademodul UK 1 mit Wilo Stratos Pico 25/1-6
inkl. Winkelstecker;inkl. Winkelstecker;Boilerlademodul UK 1 mit Wilo Stratos Pico 25/1-6
inkl. Winkelstecker;Stk;;;;;
AG53;Boilerlademodul UK 1 mit Stratos Para 25/1-8;778;Stk;1;;Boilerlademodul UK 1 mit Stratos Para 25/1-8
;;Boilerlademodul UK 1 mit Stratos Para 25/1-8
;Stk;;;;;
AG55;Boilerlademodul UK 5/4 ohne Pumpe;248,5;Stk;1;;Boilerlademodul UK 5/4 ohne Pumpe
;;Boilerlademodul UK 5/4 ohne Pumpe
;Stk;;;;;
AG56;Boilerlademodul UK 5/4 mit Wilo Stratos Pico 30/1-6;720;Stk;1;inkl. Winkelstecker;Boilerlademodul UK 5/4 mit Wilo Stratos Pico 30/1-6
inkl. Winkelstecker;inkl. Winkelstecker;Boilerlademodul UK 5/4 mit Wilo Stratos Pico 30/1-6
inkl. Winkelstecker;Stk;;;;;
AG57;Boilerlademodul UK 5/4 mit Stratos Para 30/1-8;830;Stk;1;;Boilerlademodul UK 5/4 mit Stratos Para 30/1-8
;;Boilerlademodul UK 5/4 mit Stratos Para 30/1-8
;Stk;;;;;
AG96;Beimischstation zu Verteiler 6m Pumpe mit HE-Lang-Pumpe;820;Stk;1;mit integriertem Systemtemperaturbegrenzer;Beimischstation zu Verteiler 6m Pumpe mit HE-Lang-Pumpe
mit integriertem Systemtemperaturbegrenzer;mit integriertem Systemtemperaturbegrenzer;Beimischstation zu Verteiler 6m Pumpe mit HE-Lang-Pumpe
mit integriertem Systemtemperaturbegrenzer;Stk;;;;;
AG97;Systemtrenngruppe PWT 36 Platten mit Alpha 2L, 25-60;1858;Stk;1;;Systemtrenngruppe PWT 36 Platten mit Alpha 2L, 25-60
;;Systemtrenngruppe PWT 36 Platten mit Alpha 2L, 25-60
;Stk;;;;;
AG99;Bausatz 41 für Mischermotor SM4;8,14;Stk;1;für den direkten Anbau auf den Mischerder MK-Gruppe;Bausatz 41 für Mischermotor SM4
für den direkten Anbau auf den Mischerder MK-Gruppe;für den direkten Anbau auf den Mischerder MK-Gruppe;Bausatz 41 für Mischermotor SM4
für den direkten Anbau auf den Mischerder MK-Gruppe;Stk;;;;;
CH01;COMBI STAR HLS 750 (mit 2,3 m² Solarregister);3562;Stk;1;inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome;COMBI STAR HLS 750 (mit 2,3 m² Solarregister)
inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome
Hochleistungsspeicher mit serienmäßig
eingebauter, patentierter
Schichtladelanze zur Ladung des
Puffervolumens in temperatur-
äuquivalenter Höhe. Die Kombination von
Lastausgleichspeicher
und hygienischer Warmwasserbereitung
ermöglicht höchste
Effizienz beim Beladen durch externe
Wärmeeerzeuger, wie z.B.
Festbrennstoff, Wärmepumpe, Öl-oder
Gaskesssel.
Der zusätzlich integrierte 2,3m²
Glattrohrwärmetauscher dient zur
Einspeisung für alternative Energien.
Serienmäßig eingebaute Muffen
ermöglichen durch Anschluss eines
Erweiterungspuffers die Verdoppelung
des Puffervolumens.
Die Wärmedämmung in
Weichschaumausführung mit silbergrauer
Folienbeschichtung ist seitlich mit
125mm, oben mit 200mm Stärke ausgeführt.
Die hygienische Warmwasserbereitung
erfolgt mittels optional erhältlichem
Frischwassermodul, welches am Combi
Star® HL montiert werden kann. Ebenso
können die für die Anlage erforderlichen
Regelgruppen direkt aufgebaut werden
(bis zu 3 Stk. inkl. Verteilerbalken),
wodurch sich ein hohes Maß an
Platzeinsparung ergibt.
-Puffervolumen 720 Liter
-Max. zulässiger Anlagenbetriebsdruck 3
bar
-Max. Speichertemperatur 90°;inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome;COMBI STAR HLS 750 (mit 2,3 m² Solarregister)
inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome
Hochleistungsspeicher mit serienmäßig
eingebauter, patentierter
Schichtladelanze zur Ladung des
Puffervolumens in temperatur-
äuquivalenter Höhe. Die Kombination von
Lastausgleichspeicher
und hygienischer Warmwasserbereitung
ermöglicht höchste
Effizienz beim Beladen durch externe
Wärmeeerzeuger, wie z.B.
Festbrennstoff, Wärmepumpe, Öl-oder
Gaskesssel.
Der zusätzlich integrierte 2,3m²
Glattrohrwärmetauscher dient zur
Einspeisung für alternative Energien.
Serienmäßig eingebaute Muffen
ermöglichen durch Anschluss eines
Erweiterungspuffers die Verdoppelung
des Puffervolumens.
Die Wärmedämmung in
Weichschaumausführung mit silbergrauer
Folienbeschichtung ist seitlich mit
125mm, oben mit 200mm Stärke ausgeführt.
Die hygienische Warmwasserbereitung
erfolgt mittels optional erhältlichem
Frischwassermodul, welches am Combi
Star® HL montiert werden kann. Ebenso
können die für die Anlage erforderlichen
Regelgruppen direkt aufgebaut werden
(bis zu 3 Stk. inkl. Verteilerbalken),
wodurch sich ein hohes Maß an
Platzeinsparung ergibt.
-Puffervolumen 720 Liter
-Max. zulässiger Anlagenbetriebsdruck 3
bar
-Max. Speichertemperatur 90°;Stk;;;;;
CH03;COMBI STAR HL 900 (ohne Solarregister);3415;Stk;1;inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome;COMBI STAR HL 900 (ohne Solarregister)
inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome
Hochleistungsspeicher mit serienmäßig
eingebauter, patentierter
Schichtladelanze zur Ladung des
Puffervolumens in temperatur-
äuquivalenter Höhe. Die Kombination von
Lastausgleichspeicher
und hygienischer Warmwasserbereitung
ermöglicht höchste
Effizienz beim Beladen durch externe
Wärmeeerzeuger, wie z.B.
Festbrennstoff, Wärmepumpe, Öl-oder
Gaskesssel.
 
Serienmäßig eingebaute Muffen
ermöglichen durch Anschluss eines
Erweiterungspuffers die Verdoppelung
des Puffervolumens.
 
ohne Solarregister
inkl. EPS Hartschaumdämmung mit Vliesein
 
Die hygienische Warmwasserbereitung
erfolgt mittels optional erhältlichem
Frischwassermodul, welches am Combi
Star® HL montiert werden kann. Ebenso
können die für die Anlage erforderlichen
Regelgruppen direkt aufgebaut werden
(bis zu 3 Stk. inkl. Verteilerbalken),
wodurch sich ein hohes Maß an
Platzeinsparung ergibt.
-Puffervolumen 875 Liter
-Max. zulässiger Anlagenbetriebsdruck 3
bar
-Max. Speichertemperatur 90°;inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome;COMBI STAR HL 900 (ohne Solarregister)
inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome
Hochleistungsspeicher mit serienmäßig
eingebauter, patentierter
Schichtladelanze zur Ladung des
Puffervolumens in temperatur-
äuquivalenter Höhe. Die Kombination von
Lastausgleichspeicher
und hygienischer Warmwasserbereitung
ermöglicht höchste
Effizienz beim Beladen durch externe
Wärmeeerzeuger, wie z.B.
Festbrennstoff, Wärmepumpe, Öl-oder
Gaskesssel.
 
Serienmäßig eingebaute Muffen
ermöglichen durch Anschluss eines
Erweiterungspuffers die Verdoppelung
des Puffervolumens.
 
ohne Solarregister
inkl. EPS Hartschaumdämmung mit Vliesein
 
Die hygienische Warmwasserbereitung
erfolgt mittels optional erhältlichem
Frischwassermodul, welches am Combi
Star® HL montiert werden kann. Ebenso
können die für die Anlage erforderlichen
Regelgruppen direkt aufgebaut werden
(bis zu 3 Stk. inkl. Verteilerbalken),
wodurch sich ein hohes Maß an
Platzeinsparung ergibt.
-Puffervolumen 875 Liter
-Max. zulässiger Anlagenbetriebsdruck 3
bar
-Max. Speichertemperatur 90°;Stk;;;;;
CH04;COMBI STAR HLS 900 (mit 3,2 m² Solarregister);3834;Stk;1;inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome;COMBI STAR HLS 900 (mit 3,2 m² Solarregister)
inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome
Hochleistungsspeicher mit serienmäßig
eingebauter, patentierter
Schichtladelanze zur Ladung des
Puffervolumens in temperatur-
äuquivalenter Höhe. Die Kombination von
Lastausgleichspeicher
und hygienischer Warmwasserbereitung
ermöglicht höchste
Effizienz beim Beladen durch externe
Wärmeeerzeuger, wie z.B.
Festbrennstoff, Wärmepumpe, Öl-oder
Gaskesssel.
Der zusätzlich integrierte 3,2m²
Glattrohrwärmetauscher dient zur
Einspeisung für alternative Energien.
Serienmäßig eingebaute Muffen
ermöglichen durch Anschluss eines
Erweiterungspuffers die Verdoppelung
des Puffervolumens.
 
inkl. EPS Hartschaumdämmung mit Vliesein
 
Die hygienische Warmwasserbereitung
erfolgt mittels optional erhältlichem
Frischwassermodul, welches am Combi
Star® HL montiert werden kann. Ebenso
können die für die Anlage erforderlichen
Regelgruppen direkt aufgebaut werden
(bis zu 3 Stk. inkl. Verteilerbalken),
wodurch sich ein hohes Maß an
Platzeinsparung ergibt.
-Puffervolumen 850 Liter
-Max. zulässiger Anlagenbetriebsdruck 3
bar
-Max. Speichertemperatur 90°;inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome;COMBI STAR HLS 900 (mit 3,2 m² Solarregister)
inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome
Hochleistungsspeicher mit serienmäßig
eingebauter, patentierter
Schichtladelanze zur Ladung des
Puffervolumens in temperatur-
äuquivalenter Höhe. Die Kombination von
Lastausgleichspeicher
und hygienischer Warmwasserbereitung
ermöglicht höchste
Effizienz beim Beladen durch externe
Wärmeeerzeuger, wie z.B.
Festbrennstoff, Wärmepumpe, Öl-oder
Gaskesssel.
Der zusätzlich integrierte 3,2m²
Glattrohrwärmetauscher dient zur
Einspeisung für alternative Energien.
Serienmäßig eingebaute Muffen
ermöglichen durch Anschluss eines
Erweiterungspuffers die Verdoppelung
des Puffervolumens.
 
inkl. EPS Hartschaumdämmung mit Vliesein
 
Die hygienische Warmwasserbereitung
erfolgt mittels optional erhältlichem
Frischwassermodul, welches am Combi
Star® HL montiert werden kann. Ebenso
können die für die Anlage erforderlichen
Regelgruppen direkt aufgebaut werden
(bis zu 3 Stk. inkl. Verteilerbalken),
wodurch sich ein hohes Maß an
Platzeinsparung ergibt.
-Puffervolumen 850 Liter
-Max. zulässiger Anlagenbetriebsdruck 3
bar
-Max. Speichertemperatur 90°;Stk;;;;;
CH06;COMBI STAR HL 600 (ohne Solarregister);3055;Stk;1;inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome;COMBI STAR HL 600 (ohne Solarregister)
inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome
Hochleistungsspeicher mit serienmäßig
eingebauter, patentierter
Schichtladelanze zur Ladung des
Puffervolumens in temperatur-
äuquivalenter Höhe. Die Kombination von
Lastausgleichspeicher
und hygienischer Warmwasserbereitung
ermöglicht höchste
Effizienz beim Beladen durch externe
Wärmeeerzeuger, wie z.B.
Festbrennstoff, Wärmepumpe, Öl-oder
Gaskesssel.
 
Serienmäßig eingebaute Muffen
ermöglichen durch Anschluss eines
Erweiterungspuffers die Verdoppelung
des Puffervolumens.
 
ohne Solarregister
inkl. EPS Hartschaumdämmung mit Vliesein
 
Die hygienische Warmwasserbereitung
erfolgt mittels optional erhältlichem
Frischwassermodul, welches am Combi
Star® HL montiert werden kann. Ebenso
können die für die Anlage erforderlichen
Regelgruppen direkt aufgebaut werden
(bis zu 3 Stk. inkl. Verteilerbalken),
wodurch sich ein hohes Maß an
Platzeinsparung ergibt.
-Puffervolumen 615 Liter
-Max. zulässiger Anlagenbetriebsdruck 3
bar
-Max. Speichertemperatur 90°;inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome;COMBI STAR HL 600 (ohne Solarregister)
inkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendeckschicht 90 mm, 3 Stk. Thermome
Hochleistungsspeicher mit serienmäßig
eingebauter, patentierter
Schichtladelanze zur Ladung des
Puffervolumens in temperatur-
äuquivalenter Höhe. Die Kombination von
Lastausgleichspeicher
und hygienischer Warmwasserbereitung
ermöglicht höchste
Effizienz beim Beladen durch externe
Wärmeeerzeuger, wie z.B.
Festbrennstoff, Wärmepumpe, Öl-oder
Gaskesssel.
 
Serienmäßig eingebaute Muffen
ermöglichen durch Anschluss eines
Erweiterungspuffers die Verdoppelung
des Puffervolumens.
 
ohne Solarregister
inkl. EPS Hartschaumdämmung mit Vliesein
 
Die hygienische Warmwasserbereitung
erfolgt mittels optional erhältlichem
Frischwassermodul, welches am Combi
Star® HL montiert werden kann. Ebenso
können die für die Anlage erforderlichen
Regelgruppen direkt aufgebaut werden
(bis zu 3 Stk. inkl. Verteilerbalken),
wodurch sich ein hohes Maß an
Platzeinsparung ergibt.
-Puffervolumen 615 Liter
-Max. zulässiger Anlagenbetriebsdruck 3
bar
-Max. Speichertemperatur 90°;Stk;;;;;
CH20;Harreither Beistellpuffer 750;2516;Stk;1;Lastausgleich und Wärmedepotinkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendecksc;Harreither Beistellpuffer 750
Lastausgleich und Wärmedepotinkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendecksc
Lastausgleich und Wärmedepot
inkl. EPS Hartschaumdämmung mit
Vlieseinlage und Polystyrol-
Außendeckschicht 90 mm
Abmessungen:
Höhe: 2000 mm
Durchmesser: 990 mm
Dämmstärke oben: 200mm
zul. Betriebsdruck: 3 bar
Gewicht: ~ 104 kg
Inhalt: 720 Liter;Lastausgleich und Wärmedepotinkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendecksc;Harreither Beistellpuffer 750
Lastausgleich und Wärmedepotinkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendecksc
Lastausgleich und Wärmedepot
inkl. EPS Hartschaumdämmung mit
Vlieseinlage und Polystyrol-
Außendeckschicht 90 mm
Abmessungen:
Höhe: 2000 mm
Durchmesser: 990 mm
Dämmstärke oben: 200mm
zul. Betriebsdruck: 3 bar
Gewicht: ~ 104 kg
Inhalt: 720 Liter;Stk;;;;;
CH21;Harreither Beistellpuffer 900;2748;Stk;1;Lastausgleich und Wärmedepotinkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendecksc;Harreither Beistellpuffer 900
Lastausgleich und Wärmedepotinkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendecksc
Lastausgleich und Wärmedepot
inkl. EPS Hartschaumdämmung mit
Vlieseinlage und Polystyrol-
Außendeckschicht 90 mm
Abmessungen:
Höhe: 2295 mm
Durchmesser: 990 mm
Dämmstärke oben: 200mm
zul. Betriebsdruck: 3 bar
Gewicht: ~ 136 kg
Inhalt: 860 Liter;Lastausgleich und Wärmedepotinkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendecksc;Harreither Beistellpuffer 900
Lastausgleich und Wärmedepotinkl. EPS Hartschaumdämmung mit Vlieseinlage und Polystyrol- Außendecksc
Lastausgleich und Wärmedepot
inkl. EPS Hartschaumdämmung mit
Vlieseinlage und Polystyrol-
Außendeckschicht 90 mm
Abmessungen:
Höhe: 2295 mm
Durchmesser: 990 mm
Dämmstärke oben: 200mm
zul. Betriebsdruck: 3 bar
Gewicht: ~ 136 kg
Inhalt: 860 Liter;Stk;;;;;
CH30;Frischwassermodul 41/27 L (Cu-Lot) mit  Hocheffizienzpumpe;2184;Stk;1;Frischwassermodul  FWM 35l Cu-Lot mit Hocheffizienz-pumpe. Leistung ca. 100 kW, mit max. ca.41 Liter;Frischwassermodul 41/27 L (Cu-Lot) mit  Hocheffizienzpumpe
Frischwassermodul  FWM 35l Cu-Lot mit Hocheffizienz-pumpe. Leistung ca. 100 kW, mit max. ca.41 Liter
Frischwassermodul  FWM 35l Cu-Lot mit
Hocheffizienz-pumpe. Leistung ca. 100
kW, mit max. ca.41 Liter Schüttleistung
/min. bei Puffervorlauf >=+60°C.
BESONDERHEITEN:
Automatische, steckerfertige
Drehzahlregulierung der Umwälzpumpe.
Thermoventil zur Begrenzung der
Wärmetauscher Eintrittstemperatur.
Festwert +60°C
Kernbestandteile: Hocheffizienzpumpe für
Pufferum-wälzung, gesteuert über
Strömungsschalter 230V mit Anlaufschutz.
mit thermisch langem
Plattenwärmetauscher 40 Platten, Fläche
2,39m², Füll-& Spülöffnungen.
Mit im Lieferumfang: Absperrung für
Pufferseite, Halte-bügel für
Wandmontage, Rückflussverhinderer im
Puffer RL, Dämmung,
Befestigungsschrauben für Wandmontage
und Montage am Harreither Combi Star HL
inkl. Reduktionsmuffen 5/4" IG auf 1"AG,
Alle Abgänge in 1" AG;Frischwassermodul  FWM 35l Cu-Lot mit Hocheffizienz-pumpe. Leistung ca. 100 kW, mit max. ca.41 Liter;Frischwassermodul 41/27 L (Cu-Lot) mit  Hocheffizienzpumpe
Frischwassermodul  FWM 35l Cu-Lot mit Hocheffizienz-pumpe. Leistung ca. 100 kW, mit max. ca.41 Liter
Frischwassermodul  FWM 35l Cu-Lot mit
Hocheffizienz-pumpe. Leistung ca. 100
kW, mit max. ca.41 Liter Schüttleistung
/min. bei Puffervorlauf >=+60°C.
BESONDERHEITEN:
Automatische, steckerfertige
Drehzahlregulierung der Umwälzpumpe.
Thermoventil zur Begrenzung der
Wärmetauscher Eintrittstemperatur.
Festwert +60°C
Kernbestandteile: Hocheffizienzpumpe für
Pufferum-wälzung, gesteuert über
Strömungsschalter 230V mit Anlaufschutz.
mit thermisch langem
Plattenwärmetauscher 40 Platten, Fläche
2,39m², Füll-& Spülöffnungen.
Mit im Lieferumfang: Absperrung für
Pufferseite, Halte-bügel für
Wandmontage, Rückflussverhinderer im
Puffer RL, Dämmung,
Befestigungsschrauben für Wandmontage
und Montage am Harreither Combi Star HL
inkl. Reduktionsmuffen 5/4" IG auf 1"AG,
Alle Abgänge in 1" AG;Stk;;;;;
